Name,Slug,Family,Industry,Accent Color,Description,Buyer Persona,Pilot Program Scope,Phase,Offering Status,Hero Subtitle,Hero Stat 1 Num,Hero Stat 1 Label,Hero Stat 2 Num,Hero Stat 2 Label,Hero Stat 3 Num,Hero Stat 3 Label,Challenge Title,Problem Quote Text,Problem Quote Cite,Solution Lead
PMWeb Accelerator,pmweb-accelerator,Accelerator,Real Estate,#3A9FFF,"Capital project and cost data into Snowflake in days, not months. Pre-built pipelines, validated schemas, analytics-ready output.",VP IT / Data  ·  Director of Project Controls,4 weeks  ·  2 PMWeb modules,Live Portfolio,Live,,6,Delivery Gates,25+,PMWeb Entities,5,Auth Methods,PMWeb data is trapped in silos,"Capital project data locked in PMWeb never makes it into the enterprise data warehouse — so project controls, finance, and executives are always working from different numbers.","— Common client feedback, Capital Projects practice","The PMWeb Data Extract Accelerator is a complete, configurable integration framework — not a one-time script. It provides every layer needed to move PMWeb data reliably into Snowflake or other cloud data warehouses."
JDE Accelerator,jde-accelerator,Accelerator,"Real Estate, Accounting, Legal",#E8604A,JD Edwards ERP data into Snowflake without ETL complexity. Replaces Crystal Reports. Julian date normalisation built in.,CIO  ·  VP Finance  ·  ERP Owner,4 weeks  ·  3 JDE modules,Live Portfolio,Live,,40+,Business Views,6,Core ERP Modules,100%,Audit Lineage,JDE data is locked in a legacy black box,,,"The JDE Data Extract Accelerator handles every idiosyncrasy of JDE's data model — Julian dates, Business View structures, module-level configuration — so your team gets clean, analytics-ready data without the archaeology."
OneStream Accelerator,onestream-accelerator,Accelerator,Real Estate,#3ECC8A,"Financial planning data — actuals, budgets, forecasts — into Snowflake with full entity hierarchy and audit trail.",CFO  ·  VP Finance  ·  FP&A,4 weeks  ·  one entity,Live Portfolio,Live,,Full,Entity Hierarchy,100%,Audit Lineage,3,Data Layers,Financial truth lives in OneStream. Analytics can't reach it.,,,"The OneStream Data Extract Accelerator connects OneStream to Snowflake with full entity hierarchy preservation, complete audit trail, and automatic refresh — making financial planning data a first-class citizen in your enterprise analytics stack."
VTS Accelerator,vts-accelerator,Accelerator,Real Estate,#A57FD4,Leasing and asset data from VTS unified with your full stack — one source of truth for portfolio analytics.,VP Asset Management  ·  Director of Leasing,4 weeks  ·  1 portfolio,Live Portfolio,Live,,Full,Deal Pipeline,100%,Tenant Data,Live,Portfolio Analytics,VTS knows your portfolio. Your data stack doesn't.,,,"The VTS Data Extract Accelerator extracts the full VTS data model — deals, tenants, leases, properties, and contacts — into Snowflake, where it joins with financial, project, and lease data to create the portfolio analytics view that asset managers have always wanted."
M-Files Accelerator,mfiles-accelerator,Accelerator,"Real Estate, Accounting, Legal",#5B9BD5,"Document metadata, workflow states, and version history from M-Files into Snowflake. The bridge to LeaseIQ for M-Files clients.",CLO  ·  Records Manager  ·  Compliance,4 weeks  ·  vault + workflow history,Live Portfolio,Live,,100%,Metadata Coverage,Full,Workflow History,REST,Native API,Your documents are managed. Your document data is not.,,,"The M-Files Intelligence Accelerator extracts the full richness of M-Files — metadata, workflow states, version history, permissions, and document content — into Snowflake, where it becomes queryable, governable, and AI-ready."
LeaseIQ,leaseiq,IQ,Real Estate,#5B9BD5,"AI lease abstraction and obligation tracking. Every clause extracted, every deadline surfaced, every answer sourced to the exact page.",VP Real Estate  ·  General Counsel  ·  Head of Leasing,30 days  ·  25 leases  ·  $65k–$95k  /  $25k Quickstart,Live Portfolio,Live,,30,Day Pilot,25+,Leases Abstracted,100%,Source Citation,Your leases are full of risk. Nobody has read them all.,,,"LeaseIQ is a Snowflake-native AI application that ingests your lease portfolio, extracts every critical clause, and makes your leases searchable, queryable, and auditable in natural language — without a single paralegal touching a document."
MunicipalIQ,municipaliq,IQ,Real Estate,#4BBF77,"Pre-screens permit applications against bylaws, OCP, and design guidelines before submission. Serves developers and municipalities.",VP Development  ·  Director of Planning,Developer 3 wks  ·  Municipality 4 wks,Live Portfolio,Live,,BC,Centric Coverage,100%,Corpus Indexed,2,Buyer Sides,Permit applications fail for reasons that were always in the bylaw.,,,"MunicipalIQ ingests the full regulatory document corpus — bylaws, OCP, design guidelines, building codes — and screens every permit application before submission, surfacing compliance gaps, missing requirements, and design guideline conflicts before they become rejection reasons."
Store IQ,store-iq,IQ,Retail,#F97316,Real-time 3D and 2D planogram creation. Video-parsed compliance review against brand standards. Store managers conduct monthly reviews with existing staff — no oversight team required.,VP Retail Operations  ·  District Manager  ·  Store Manager,Contact Olivier Riboux,Live Portfolio,Live,,,,,,,,,,,
AdIQ,adiq,IQ,Retail,#8B5CF6,"Video ad intelligence platform. Frame-by-frame cross-cultural scoring, expressiveness modelling, AI storyboard creator grounded in historical performance, and competitive intelligence.",VP Marketing  ·  Creative Director  ·  Media Planner,Contact Olivier Riboux,Live Portfolio,Live,,,,,,,,,,,
Call Centre IQ,call-centre-iq,IQ,"Real Estate, Retail",#0EA5E9,"Contact centre voice and transcript analysis. Performance coaching, sentiment tracking, compliance monitoring, and operational intelligence. Reference clients: Scene+ and CI Investments.",VP Customer Experience  ·  Contact Centre Manager  ·  COO,Contact Stephen Hayward,Live Portfolio,Live,,,,,,,,,,,
